Player 1,Player 2,Result
5,6,P2
4,3,P1
5,5,Draw
4,3,P1
1,2,P2
1,5,P2
6,1,P1
1,1,Draw
3,5,P2
4,6,P2
2,3,P2
3,2,P1
2,5,P2
2,6,P2
4,1,P1
4,1,P1
1,5,P2
4,5,P2
5,2,P1
2,3,P2
4,6,P2
1,6,P2
3,1,P1
2,4,P2
2,5,P2
6,3,P1
3,1,P1
2,5,P2
6,1,P1
1,5,P2
6,2,P1
5,6,P2
2,2,Draw
4,2,P1
3,1,P1
6,4,P1
2,6,P2
5,2,P1
3,3,Draw
3,5,P2
4,2,P1
5,3,P1
1,1,Draw
3,6,P2
5,3,P1
3,5,P2
4,2,P1
1,5,P2
1,2,P2
2,6,P2
1,3,P2
3,3,Draw
3,4,P2
1,5,P2
1,3,P2
6,4,P1
2,2,Draw
2,1,P1
4,2,P1
6,2,P1
3,2,P1
2,4,P2
4,1,P1
2,3,P2
6,3,P1
3,2,P1
3,5,P2
3,5,P2
2,6,P2
4,3,P1
4,2,P1
2,6,P2
4,3,P1
2,1,P1
1,3,P2
3,4,P2
4,2,P1
2,2,Draw
6,6,Draw
6,2,P1
5,6,P2
6,4,P1
6,5,P1
2,2,Draw
6,3,P1
3,4,P2
1,6,P2
6,6,Draw
6,3,P1
6,6,Draw
4,1,P1
5,4,P1
3,2,P1
5,6,P2
1,4,P2
3,3,Draw
2,2,Draw
5,5,Draw
2,6,P2
4,5,P2
