Business Name,State,City,Address,Jobs Retained,Date Approved
BETHEL FAMILY CLINIC,Not Found,Not Found,"P.O. Box 1908 BETHEL, AK 99559",21,2020-04-10
CARAVEL ACADEMY,Not Found,Not Found,"2801 DEL LAWS RD BEAR, DE 19701",Not Found,2020-04-29
ASSOCIATION OF CATHOLIC COLLEGES AND UNIVERSITIES,Not Found,Not Found,"One Dupont Circle SUITE #650, DC 20036",7,2020-04-28
DIAMOND STATE TIRE INC,Not Found,Not Found,"3482 WRANGLE HILL RD BEAR, DE 19701",13,2020-04-15
ELITE DISCOUNT FURNITURE LLC,Not Found,Not Found,"98 820 MOANALUA RD AIEA, HI 96701",16,2020-04-10
"CRC SERVICES, INC.",Not Found,Not Found,"5142 CLARETON DR SUITE 200 AGOURA HILLS, CA 91301",9,2020-04-27
ROBERT J CLANCEY LTD,Not Found,Not Found,"99 1275 Waiua Pl AIEA, HI 96701",Not Found,2020-04-13
"RANDAL D. MORITA, DDS, INC",Not Found,Not Found,"98-1247 Kaahumanu Street Ste 325 AIEA, HI 96701",12,2020-04-07
CAP ANESTHESIA PC,Not Found,Not Found,"275 GROVE ST STE 2400 AUBURNDALE, MA 02466",53,2020-05-03
CLEARTELLIGENCE INC,Not Found,Not Found,"275 GROVE ST STE 2400 AUBURNDALE, MA 02466",32,2020-05-03
"CERIC FABRICATION CO., INC.",Not Found,Not Found,"70 Nemco Way AYER, MA 01432",32,2020-04-06
"PLATA TAQUERIA &AMP; CANTINA, LLC",Not Found,Not Found,"28914 ROADSIDE DR UNIT 110 AGOURA HILLS, CA 91301",15,2020-05-01
GINER ELX INC,Not Found,Not Found,"89 RUMFORD AVE AUBURNDALE, MA 02466",18,2020-04-07
"TP PRINTING CO., INC.",Not Found,Not Found,"103 W SPRUCE ST ABBOTSFORD, WI 54405",37,2020-04-13
"BELLEVUE CHRISTIAN CENTER, INC.",Not Found,Not Found,"1400 Harvell Drive BELLEVUE, NE 68005",49,2020-04-11
"ALEXA'S CATERING, INC",Not Found,Not Found,"10115 Main St Bothell BOTHELL, WA 98011",Not Found,2020-04-15
ROSCHKE & WALL BUSINESS ADVISORS AND CPA,Not Found,Not Found,"30300 Agoura Road #250 AGOURA HILLS, CA 91301",10,2020-04-14
TELCO P&C LLC,Not Found,Not Found,"7030 Virginia Manor Road BELTSVILLE, MD 20705",10,2020-04-29
RED SKY BLUE WATER LLC,Not Found,Not Found,"18912 North Creek Pkwy, Suite 208 BOTHELL, WA 98011",17,2020-04-16
REDSTONE HOLDINGS INC.,Not Found,Not Found,"19515 North Creek Parkway Suite 308 BOTHELL, WA 98011",15,2020-04-15
"HUMAN SYSTEMS INTEGRATION, INC.",Not Found,Not Found,"153 WASHINGTON ST SUITE 153 EAST WALPOLE, MA 02032",19,2020-04-12
"C & R ELECTRIC, INC.",Not Found,Not Found,"1040 Airport Way HAILEY, ID 83333",24,2020-04-15
"C&R ELECTRIC, INC.",Not Found,Not Found,"7602 Energy Parkway, Suite 9 CURTIS BAY, MD 21226",49,2020-04-13
"A&A COORS, INC.",Not Found,Not Found,"823 E 8TH ST HAYS, KS 67601",22,2020-04-08
HIGH COUNTRY HEATING INC,Not Found,Not Found,"1531 COLIBRI LANE HAILEY, ID 83333",16,2020-04-11
MASS COATING CORP,Not Found,Not Found,"7 ENDEAN DR EAST WALPOLE, MA 02032",Not Found,2020-05-03
"C & R ELECTRIC, INC.",Not Found,Not Found,"491 E Wright Ave SHEPHERD, MI 48883",81,2020-04-04
C &AMP; R ELECTRIC INC,Not Found,Not Found,"919 SW 150TH ST STE A BURIEN, WA 98166",14,2020-05-03
SKR INTERNATIONAL LLC,Not Found,Not Found,"22118 20TH AVE STE 130 BOTHELL, WA 98021",0,2020-04-08
"PARK-A-WAY RV & MARINE SUPER CENTER, INC",Not Found,Not Found,"170 E SIPHON ROAD POCATELLO, ID 83202",0,2020-04-07
"PARTNER STEEL CO., INC.",Not Found,Not Found,"3187 POLE LINE RD POCATELLO, ID 83201",27,2020-04-06
LIESENER TRUCKING INC.,Not Found,Not Found,"1365 Spring Valley Road JACKSON, WI 53037",35,2020-04-09
PRO-TEC WELDING LLC,Not Found,Not Found,"2979 Bowling Green Rd RUSSELLVILLE, KY 42276",22,2020-04-09
METROPOLITAN TELEPHONE CO,Not Found,Not Found,"777 Providence Highway WALPOLE, MA 02081",19,2020-04-10
"J & A SALES, INC.",Not Found,Not Found,"20W267 101ST ST Unit D LEMONT, IL 60439",20,2020-04-29
